date,haiku,generator,rating_by_llama4_17b,rating_by_llama3_70b,rating_by_gemma2_9b,mean_score,std,is_winner
2025-07-10,First raindrops of spring<br>A new world wakes from its sleep<br>Life starts to unfold <br><br>,Gemma 2:9B,2,4,2,2.67,1.1547,FALSE
2025-07-11,Softly buzzing bees<br>Golden light on velvet wings<br>Summer's sweet delight,Llama 4 Scout,5,5,4,4.67,0.5774,TRUE
2025-07-11,Vibrant colors rise<br><br>Morning's tapestry unfurls<br><br>Beauty's gentle mark,Llama 3.3,4,4,5,4.33,0.5774,FALSE
2025-07-11,"Storm clouds gather dark  <br>Thunder roars, a crack of light<br>Raindrops start to fall <br><br><br>",Gemma 2:9B,3,3,3,3.0,0.0,FALSE
2025-07-12,Crimson sunrise high<br>Golden light on dewy spider<br>Morning's tiny king,Llama 4 Scout,4,5,4,4.33,0.5774,TRUE
2025-07-12,"Tranquil evening sky <br><br>Stars and darkness, infinite <br><br>Cosmic gentle night",Llama 3.3,5,4,3,4.0,1.0,FALSE
2025-07-12,White clouds drift on high<br>A lone bird sings a sweet song<br>Sky a boundless blue <br><br><br>,Gemma 2:9B,3,3,2,2.67,0.5774,FALSE
2025-07-13,Frosty library <br>Dusty pages turning slow <br>Knowledge's quiet seat,Llama 4 Scout,4,4,4,4.0,0.0,TRUE
2025-07-13,Blossoms of silence <br>Forgotten paths unfolding <br>Secrets in the earth,Llama 3.3,4,5,3,4.0,1.0,FALSE
2025-07-13,"Raindrops softly fall<br>Washing dust from thirsty leaves<br>Earth drinks, sighs with peace <br><br>",Gemma 2:9B,3,3,2,2.67,0.5774,FALSE
2025-07-14,Soft candlelight gleams<br>Shadows on the ancient wall<br>Wisdom's quiet flame,Llama 4 Scout,5,5,4,4.67,0.5774,TRUE
2025-07-14,"Velvet night descends <br>Stars and darkness, infinite <br>Cosmic lullaby",Llama 3.3,4,5,5,4.67,0.5774,FALSE
2025-07-14,"Cool rain on the roof<br>Drumming softly, a gentle sound<br>Earth drinks deeply now <br><br>",Gemma 2:9B,3,4,3,3.33,0.5774,FALSE
2025-07-16,Glowing embers fade  <br>Shadows dance upon the wall  <br>Winter's quiet sleep,Llama 4 Scout,4,4,5,4.33,0.5774,TRUE
2025-07-16,"Vibrant marketplace<br>Colors, textures, scents abound<br>Life's diverse tapestry<br><br>Turquoise ocean waves<br>Foam and spray upon my skin<br>Serenity found<br><br>Starlight on the hill<br>Twinkling diamonds in the vast<br>Cosmic gentle song",Llama 3.3,3,3,4,3.33,0.5774,FALSE
2025-07-16,First frost kisses ground<br>Leaves in fiery hues descend<br>Winter whispers near <br><br>,Gemma 2:9B,4,4,3,3.67,0.5774,FALSE
2025-07-17,Softly pulsing fog<br>Shadows hide the mountain's face<br>Mystery's vast sea,Llama 4 Scout,4,5,4,4.33,0.5774,FALSE
2025-07-17,Vibrant feathers dance  <br>Rainbow hues upon the wing  <br>Freedom's gentle form<br><br>Turquoise waters deep  <br>Glittering jewels in the sand  <br>Ocean's hidden world<br><br>Midnight's starry sky  <br>Diamonds twinkling in the vast  <br>Cosmic gentle hum,Llama 3.3,3,1,3,2.33,1.1547,FALSE
2025-07-17,"Clear sky, stars ignite<br>Diamond dust sprinkled above<br>Night breathes, silent calm<br><br>",Gemma 2:9B,5,4,5,4.67,0.5774,TRUE
2025-07-18,Softly rains the night<br>Calming city's restless heart<br>Peaceful darkness falls,Llama 4 Scout,5,5,5,5.0,0.0,TRUE
2025-07-18,Vibrant market sounds<br><br>Colors dancing in the crowd<br>Joy in every face,Llama 3.3,4,4,4,4.0,0.0,FALSE
2025-07-18,Raindrops drum the roof<br>A steady rhythm fills the air<br>Earth drinks deeply now<br>,Gemma 2:9B,3,1,3,2.33,1.1547,FALSE
